district;city;name;jan2021;feb2021;mar2021;apr2021;may2021;jun2021;jul2021;aug2021;sep2021;oct2021;nov2021;dec2021;jan2022;feb2022;mar2022;apr2022;may2022;jun2022;jul2022;aug2022;sep2022;oct2022;nov2022;dec2022;jan2023;feb2023;mar2023;apr2023;may2023;jun2023;jul2023;aug2023;sep2023;oct2023;nov2023;dec2023;jan2024;feb2024;mar2024;apr2024;may2024;jun2024;jul2024;aug2024;sep2024
;Уральский федеральный округ;Уральский федеральный округ;90.85;90.69;91.12;91.75;91.54;91.67;92.4;94.55;96.16;96.72;97.18;96.36;90.63;88.51;107.31;120.81;125.12;127.57;126.99;123.95;126.37;126.36;128.27;128.36;133.58;134.18;133.89;134.0;133.54;133.25;132.77;132.09;132.22;134.86;133.86;133.84;133.09;131.06;130.87;131.1;130.1;129.46;130.29;130,65;130,43
Курганская область;Другое;Курганская область;67.98;68.11;67.53;69.08;69.96;70.82;70.14;67.59;70.03;71.67;71.77;70.22;74.05;73.16;94.5;108.01;110.6;113.76;118.23;121.88;122.26;122.26;121.72;118.83;118.21;119.74;119.23;117.35;115.86;113.53;113.53;112.32;114.35;113.87;114.83;115.32;111.58;112.29;108.87;106.82;103.97;105.21;110.44;110,24;110,88
Курганская область;Курган;Курган;62.93;63.28;61.21;61.21;61.15;61.5;61.5;59.57;59.57;62.95;62.5;62.07;66.07;65.68;88.35;102.27;103.34;103.72;101.96;106.83;107.44;107.44;107.44;105.35;103.84;105.92;105.92;104.25;102.84;100.42;100.42;97.87;97.87;99.45;99.45;99.45;97.08;97.72;95.19;93.34;92.25;94.08;99.22;101,61;102,18
Курганская область;Шадринск;Шадринск;81.67;81.18;84.66;90.39;93.83;96.07;93.52;89.32;98.35;95.28;96.89;92.3;95.66;93.43;111.17;123.54;130.26;140.95;162.28;162.63;162.4;162.4;160.38;155.32;157.13;157.15;155.26;152.83;151.1;149.03;149.03;151.44;158.98;152.92;156.48;158.28;155.74;156.64;150.54;147.89;139.65;139.11;144.62;136,51;137,37
Свердловская область;Свердловская область;Свердловская область;71.33;69.07;72.16;73.06;72.12;71.17;68.05;72.14;75.39;76.15;76.31;77.11;79.9;78.45;96.45;116.56;121.01;129.04;128.82;120.72;122.7;120.21;119.7;118.53;128.65;128.44;128.07;127.27;124.95;124.97;125.32;124.33;127.43;131.08;131.77;132.67;131.01;125.45;124.81;123.25;122.67;122.26;124.98;125,64;124,31
Свердловская область;Екатеринбург;Екатеринбург;63.61;60.85;66.85;67.07;61.6;62.32;57.73;62.62;66.17;65.53;67.73;66.81;66.61;66.98;82.26;96.08;101.69;113.28;115.38;107.91;110.06;104.08;103.49;101.51;116.24;116.11;116.11;116.63;109.24;108.75;112.89;109.76;115.49;121.58;123.73;123.73;124.94;123.84;122.46;122.47;119.09;120.08;121.78;124,63;120,97
Свердловская область;Каменск-Уральский;Каменск-Уральский;85.94;89.09;91.16;93.34;94.25;92.08;92.08;95.11;102.99;106.31;96.88;99.75;108.69;108.83;120.93;130.53;140.0;137.79;135.11;130.2;126.1;128.6;132.4;131.06;138.21;138.21;138.97;138.21;141.55;138.21;141.44;140.24;139.72;141.72;147.58;148.99;143.55;140.17;140.17;137.53;131.73;131.73;141.94;136,8;144,96
Свердловская область;Нижний Тагил;Нижний Тагил;72.07;69.59;71.49;72.26;72.26;71.63;69.49;74.85;74.86;75.99;79.42;81.07;81.72;71.76;95.48;131.74;137.12;152.15;149.85;143.82;143.84;141.77;137.03;141.38;154.0;151.57;146.02;147.58;148.21;151.15;142.37;142.31;148.64;148.64;143.22;144.97;142.57;117.31;116.79;108.13;113.91;110.55;113.0;119,2;115
Свердловская область;Первоуральск;Первоуральск;62.72;58.73;56.67;60.62;68.83;68.83;63.93;67.5;71.53;77.29;73.34;77.29;88.87;89.98;104.62;139.29;134.34;135.81;135.81;113.55;121.91;124.3;125.0;120.51;120.51;122.78;127.12;118.12;121.56;124.5;122.44;126.89;121.51;124.02;123.32;123.32;113.4;115.15;113.3;113.3;116.22;112.39;112.92;112,1;110,63
Свердловская область;Серов;Серов;98.01;93;93;91.31;94.98;85.76;85.76;85.76;85.88;81.84;85.88;85.88;85.88;85.88;119.69;134.45;137.28;138.9;134.73;134.73;139.73;139.14;139.14;136.17;136.17;136.17;136.17;136.17;136.17;132.79;132.79;132.79;133.84;137.03;137.71;142.24;146.31;146.31;150.41;155.88;158.69;162.5;162.74;150,35;153,28
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Другое;Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;108.24;108.52;108.04;108.81;108.33;109.57;111.6;113.77;114.67;115.1;116.77;113.68;113.83;108.22;135.68;139.13;147.81;146.12;144.03;142.23;146.6;146.43;150.63;148.28;155.27;155.78;154.03;156.34;156.47;157.87;155.7;153.98;152.11;155.88;152.61;155.47;150.73;149.69;150.68;150.91;150.88;150.13;151.56;148,57;148,11
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Ханты-Мансийск;Ханты-Мансийск;90.21;95.31;96.32;94.61;92.71;96.86;112.17;131.36;122.36;123.75;133.18;119.73;112.96;117.38;158.22;164.06;166.74;159.59;156.89;164.21;170.08;164.42;161.93;165.45;164.85;169.51;165.18;164.54;164.21;165.99;176.05;178.3;163.65;177.56;181.43;206.94;209.64;210.35;212.18;213.6;212.22;207.03;213.79;205,74;213,04
